,document,expertise
730,Support the Account Manager on translating video pitches and campaign briefings in video campaigns. Support the choice between auction or reserve campaigns and and contribute to decisions regarding targeting methods and inventory. Optimize campaigns in order to deliver customer Key Performance Indicators (KPIs) and the best possible outcome. Communicate and follow-up proactively regarding account plans and ensuring quarterly rhythm and the best possible outcome. Assist the Account team in responding to media briefs. Act as a thought leader on video implementation and optimization and and measurement. Coordinate with Google’s Customer Solutions team and specialist community to stay up-to-date on your area of expertise.,"Experience with TV buying (client side) or TV selling (agency side), Demonstrated videorelated technical product and solutions expertise (i.e. with YouTube and etc), Ability to quickly build relations and rapport, Ability to speak and write in Norwegian and Swedish and Finnish or Danish"
732,Google interns are given a lot of responsibility and the opportunity to give a meaningful contribution to their teams. Specific responsibilities are assigned to interns at the start of the program.,"Interest in the technology industry and Google’s business, Demonstrated critical thinking skills and independent motivation"
733,Serve as the daily PR lead for product launches and proactive announcements across our Search products. This will include working closely with cross-functional teams to draft blog posts and media pitches and launch materials. Think creatively and take smart risks and handle tough issues as they arise. Develop and maintain close and productive relationships with teams across Google and journalists and key partners and influencers in tech and business and the mainstream press. Act as a media spokesperson and maintaining a strong understanding of Google Search.,"Ability to work with colleagues in different countries and understand cultural differences, Ability to focus and prioritize on a variety of updates and announcements, Strong media relations skills and relationships in order to help shape a story"
735,Work across several aspects of marketing – from branding and positioning to targeted outreach and strategy and go-to-market strategy and campaigns and advocacy and events and communication. Create and execute innovative strategies and marketing plans that drive awareness and engagement and product adoption. Partner with cross-functional stakeholders including product and user experience and design and analytics and creative and leadership and to drive product roadmaps and strategy and execution. Develop actionable and data-driven insights to inform product and marketing strategy. Leverage marketing insights to better understand our customers and represent the voice of the user.,Ability to identify and implement scalable process improvements using a datadriven approach
736,Use data to proactively identify opportunities to increase user reach and user engagement to help product teams define their strategies and roadmaps. Track product performance and and perform analysis to understand top performance attributes and drivers. Analyze product data to inform product and marketing strategy and advocate for consistent and measurable and and incremental growth. Interpret analysis results to provide meaningful product and business recommendations and and deliver effective communications and presentations to multiple levels of stakeholders to drive product changes. Design experiments to test new features and and conduct quantitative data analysis of experiment results (i.e. impact analysis and product and user understanding) helping managers prioritize opportunities.,"Experience with user acquisition and engagement and retention analysis, Capable of translating analysis results into product and business recommendations, Strong product sense with great business judgment"
737,Provide design and creative vision for the development and implementation of marketing communications across all retail touch points including 2D and motion graphics and on-device demos and digital and experiential with the ability to understand how creative ideas will translate globally Craft design details to support creative programs and design marketing concepts that meet the brand and business objectives and advance our retail strategy Translate ideas through various design skills (drawing/sketching and ideation and color theory and typography and imagery and textures and motion) while understanding the context and insight and and visual design realities at retail Communicate and present and partner with stakeholders to achieve the highest possible creative output Be a multi-brand steward by holding creative work to established style guides while working to improve and evolve those guides and delivery systems and and processes,Interest in worldchanging leaps in technology and along with a healthy disrespect for the impossible
738,Create a range of visual design deliverables from: visual concepts and branding and mock-ups iconography and presentations layouts across events and experiential and digital. Work collaboratively with a team of people to create fresh brand/product visual designs and iconography that are routed in strategy and insights. Bring big ideas to life in the form of powerful graphic expression and fresh and inventive creative design. Design for traditional (live and screen) mediums as well as progressive (digital and social and mobile) mediums.,Ability to contribute in a crossfunctional environment
739,Develop and write and and edit communications for senior executives and including emails and slide presentations. Develop creative strategies for communicating to employees: plan the frequency of and vehicles for communications and and coordinate across different areas of the business and the company. Coordinate and execute logistics around events and email aliases and and internal reorganizations (in partnership with the HR team). Project manage internal communications strategic plans and initiatives and from beginning to end. Interact with and influence executives and and provide advice that reflects an understanding of their business and leadership style.,"Graphic designer with excellent creative and visual skills and including slide design and with experience using Google Slides or other presentation software, Effective team player who can lead efforts across multiple disciplines"
740,Analyze sales and brand uplift due to our retail marketing executions and by analyzing a wide variety of data. Lead global analyses of Retail Sales Associate training and engagement impact. Work with internal Retail Operations team to gather appropriate data via store collection or surveys and build models to estimate ROI of various training programs and help influence future business development. Lead global analysis of in-store demo device analytics. Work with internal Platform team and external developer of demo mode to gather data and analyze by country. Lead development and analysis of datasets to measure retail reach globally at the store level; tie to other data sets in order to run statistical analyses with sales and brand impact and and other measures of success. Develop compelling data visualizations and dashboards to communicate insights effectively. Work cross-functionally with data analyst teams across the hardware and marketing organizations to build data tools (data warehouses and dashboards etc) and drive alignment and ensure a single version of validity between data sources.,"Experience with spreadsheet software, Understanding of design and life cycle development of business dashboards/reports, Ability to translate data into insights and craft executive level presentations"
741,Provide customers with an enterprise-focused briefing experience that includes curating and planning and execution. Develop and manage the delivery of content on the day of the briefing that provides value and achives briefing objectives. Collaborate closely with internal stakeholders to develop agendas and content and the appropriate presenters as needed who contribute to impactful briefings that deliver insight and drive business value for GCP customers. Track and deliver insights and data to internal stakeholders including sales and product and marketing teams and executives. Contribute to continuous program improvements in content and delivery and innovation. Identify measurable sales goals that will be reviewed post-briefing and articulate goals to speakers in preparation for each briefing. Capture unique customer insights during briefings as it relates to Google initiatives and utilize customer survey results in de-briefs with the team to drive new customer message.,"Presentation delivery and meeting facilitation experience, Understanding of the cloud industry and enterprise customer scale requirements and and strong understanding of Google’s Cloud products and solutions"
742,Define design best practices for immersive computing (VR and AR). Advocate design best practices in blog posts. Write articles about immersive computing and design. Write internal articles about designing VR and AR Google apps Work on interactive educational experiences about design.,"Experience with design advocacy, Experience in the games industry, Familiarity with real time D rendering and game engines like Unity and Unreal"
743,Develop and write and and edit communications for senior executives and including emails and Google+ posts and and presentations. Develop creative strategies for communicating to employees: plan the frequency of and vehicles for communications and and coordinate across different areas of the business and the company. Interact with and and influence executives and and provide advice that reflects an understanding of their business and leadership style. Manage the end-to-end process for large company-wide events. Provide strong communications and program management support for large internal reorganizations.,"Graphic design abilities with excellent creative and visual skills and including slide design and with experience using Google Slides or other presentation software, Effective team player who can lead efforts across disciplines"
745,Lead and mentor a team of front-end and back-end engineers and help them deepen their skills as creative technologists. Help bring our APAC brand strategy to life with our team and marketing partners Be a hands-on developer and responsible for technical designs and deliverables for projects Be a catalyst for the creation of interactive experiences that connect our users with our brand. Advocate the unity of creativity and technology to drive innovation in our digital marketing Collaborate closely with a cross-functional team including creative and strategy and delivery. Be a strategic partner to our product and marketing teams Help to size and scope complex and creative engineering projects and identifying and mitigating risk and anticipating roadblocks. Oversee external development agencies and maintain Google's reputation for quality and reliability and innovation. Manage multiple workstreams in a fast-paced and ambiguous environment,A collaborative approach that fits with the Google spirit and and a bias to building relationships
746,Manage the High-Potential and Mid-Market and Marketing Direct business including inbound and outbound. Define key strategic pillars for the direct business along with internal organizations. Coordinate with regional Product Marketing Managers (PMMs) to track performance and share best practices and build growth plans.,"Experience collaborating with multiple Sales stakeholders, Effective communication and interpersonal skills and including both professional and casual style of communication"
748,Lead the communications strategy and and associated implementation and for initiatives from beginning to end. Assess the needs of the project and develop and foster buy-in for the plan and implement the plan and and track effectiveness. Take a lead role on managing issues and demonstrating speed and sound judgment. Create high quality and compelling communications and at the organizational and Google-wide levels and for a variety of channels (email and presentations and live events and videos and websites and social media and etc). Act as a trusted advisor and develop strong relationships with internal clients and colleagues at all levels. Build consensus across cross-functional teams and influence decision making with senior-level audiences to achieve business objectives. Track effectiveness of communication campaigns and manage feedback channels and using associated information to make recommendations in order to improve our strategies.,Experience in influencing through robust relationships and expertise and data
749,Develop and lead public policy campaigns across the full range of policy areas that impact Google and the web (e.g. technology innovation and free expression and privacy and intellectual property.) Engage directly with politicians and policy-makers around the region. Work in a cross-cultural environment and manage relationships in multiple countries. Work with trade associations and industry partners and non-profit groups and others to support policies that will help create/maintain a user-focused online environment as well as an open Internet. Monitor and research current and relevant emerging policy issues.,"Broad policy experience with direct knowledge of the tech sector or the key issues impacting the web and like privacy and free expression and internet access and online safety, Strategic planning and building alliances on innovation and entrepreneurship, Familiar with the region, Excellent communicator with great interpersonal and presentation skills and as well as the ability to write well and translate complex issues into simple language that people who are not experts can understand"
750,Serve as an internal advocate for assigned products. Build inspiring cloud assets that excite customers. Work and collaborate with other Marketing and Engineering functions to define and deliver the Cloud Platform technology value proposition. Drive awareness of Google Cloud Platform in the market and engage with key influencers. Identify and develop and/or manage the creation of a variety of content types – written and videos and presentations and etc. – as needed to drive business growth and marketing success.,"Demonstrated ability as a product or technology advocate, Effective communication and organizational skills"
752,Define and shape global multi-year product/program retail strategies supported by key competitive insights and operating metrics. Execute quantitative analyses and modeling that translates into actionable insights. Leverage executive presence to drive alignment and decision making with executive stakeholders on Go-to-Market strategies. Act as the point of contact for your product/program to all internal Retail Marketing teams and cross-functional stakeholders including Product Management and Engineering and Brand Marketing and Sales and Operations and Finance. Build cases for opportunities and and develop insightful recommendations on strategic opportunities and operational efficiency.,Experience in spreadsheet modeling or statistical analysis
753,Google interns are given a lot of responsibility and the opportunity to give a meaningful contribution to their teams. Specific responsibilities are assigned to interns at the start of the program.,"Interest in the technology industry and Google’s business, Demonstrated critical thinking skills and independent motivation"
754,Maintain an understanding of the Google Analytics product roadmap and define a marketing plan to best communicate product capabilities and new innovations. Develop impactful content that aligns with our product plans and advances our key product narratives and including blog posts and customer success stories and thought leadership piece and event keynotes and and website messaging. Work with data analysts and product and sales teams to develop innovative research and share these insights with our customers through engaging marketing initiatives. Partner closely with marketing managers for related measurement products to ensure we are telling a cohesive story to the market.,Experience with Google Analytics
756,Develop and lead startup strategy for Germany from a One Google perspective. Lead and execute Marketing strategies and initiatives to acquire new Google customers and drive performance analysis. Establish meaningful relationships with the startup community by building partnerships with VCs and incubators and accelerators. Coordinate the cross-functional startup team based in Berlin. Orchestrate and execute cross-functional activities and develop a One Google startup engagement plan (including events and trainings and communication). Effectively work with a large group of stakeholders across local and regional and global Sales and PR and Policy and Marketing organization.,"Ability to work on multiple projects simultaneously in a fastpaced and dynamic environment, Experience working in the startup community (working for a VC and startup and accelerator and etc), Excellent collaboration and communication skills. A passionate leader and communicator and with demonstrated talent at building collaborative partnerships, Effective business acumen and analytical skills with a natural talent for data and analysis"
757,Develop marketing strategy across Google’s portfolio of consumer products in India spanning both software (Search and YouTube and Maps and Duo and etc) and hardware (e.g Pixel and Chromecast and etc.) Understand product and market and and media channel developments and opportunities. Provide deep consumer insights to support the development of high-impact marketing campaigns to drive adoption and increased usage of products and as well as guide in product development. Track consumer product metrics and analyze effectiveness of campaigns. Establish processes to drive efficiency in campaign execution.,"Professional experience in the consumer internet and hardware and/or media space, Demonstrated ability to work with initiative and provide breakthrough thinking and strategy and and function effectively in highly dynamic environments, Effective organizational and analytical and and written and oral communication skills"
758,Drive customer acquisition and business growth. Identify growth opportunities and create customer acquisition campaigns and analyze the results and and iterate to continuously improve. Work with cross-functional teams a and identify the most impactful areas for growth which could include marketing messages and pricing and product on-boarding and lifecycle marketing and and customer referrals.,"Experience creating and executing successful advertising campaigns. Able to demonstrate measurable impact of campaign strategy and digital media optimization toward business goals, Demonstrated strong selfstarter and bias to action and able to form and leverage strong relationships across functional areas and and sense of urgency"
759,Create integrated marketing and media campaigns that drive demand and leads and contacts and opportunities through event registration of strategic industry and Field marketing events. Demonstrate accountability for achieving individual and shared goals and working closely with Field Marketing and Sales teams to set expectations for lead volume and lead to contact/opportunity conversion and sales follow up and and collect feedback on registration/lead quality. Explore and grow and drive demand through new channels and like paid media event and lead generation with external publishing partners. Collaborate on global campaigns across three key regions (AMER and EMEA and APAC) and and work collaboratively with the global team to synthesize learnings/data and create future strategy. Develop executive presentations to communicate strategy and priorities and results.,Strong knowledge of measurement approaches (including multitouch attribution) ad operations and the digital video and overall display landscapes
760,Intern projects will be determined based on the experience and skills and interests of the student. If you are interested in a particular area and please make sure to include it in your resume.,"Demonstrated interest in the Internet and Google's technology and business, Ability to operate as a selfstarter and independent thinker"
761,Develop a strategy to communicate marketing leadership's philosophy and principles and plans to the team and the company and the global industry. Execute outreach via an ongoing series of strategically timed speeches and events and articles and emails and and social media posts. Develop thought leadership and vision of what our strategy means for the Marketing team and helping them to achieve and maintain creative excellence while also stimulating innovation. Help the company to understand and support and champion the work of Marketing and with a unified mission ultimately putting the user first in their work. Advocate for Google to the outside world and including prospective employees and advertisers.,Ability to interact with executives with confidence and and to provide advice on their communications that reflect an understanding of their business and leadership style
762,Build new programs that can scale with the business. Develop strategies and manage the day-to-day execution of corporate public relations activities. Educate business press and analysts and other influencers about Google Cloud. Manage ongoing executive communications opportunities including media briefings and speaking engagements and and other activities.,"Established media relationships and a solid understanding of cloud technologies, Strong sense of accountability and ownership and combined with ability to delegate and motivate and develop team members, Strong research and analytical skills and with the ability to quickly identify trending topics and issues with a defined point of view, Excellent editing and writing skills"
763,Construct a clear value proposition that supports the value of Google Cloud. and communicate the unique value of running Windows (and Windows-based applications) on GCE and .Net applications. Build compelling and customer-focused product content that excites and inspires and compels customer adoption. Develop a clear and effective product marketing plan and drive its execution out to customers. Partner with Product Management and Developer Relations and Sales and Growth Marketing and Field Marketing and and Campaigns to drive awareness and adoption and and customer happiness. Work with Public Relations and Analyst Relations to help tell the Windows on GCE and .Net applications story to analysts and influencers and the press. Educate external customers on the value of Windows on GCE and internal customers on the best ways to present this value in their materials and campaigns and activities.,"Understanding of Google's strategic and competitive position within Cloud technologies, Demonstrated ability to develop creative/non traditional solutions, Ability to travel up to % of the time"
764,Design and execute qualitative and quantitative primary research plans and including managing all aspects of vendor delivery. Crystalize complex data into simple concepts. Develop compelling insights narratives to communicate your research findings. Collaborate with Researchers and Writers and and the Google Marketing department to shape your research to ensure the findings have maximum impact.,"Experience writing SQL queries and working with statistical analysis packages, Distinctive analytical skills and creativity and a strategic mindset and keen business acumen"
765,Mine datasets to create customized recommendations at scale to help publishers grow their businesses. Build data pipelines and scripts that enable scalable sales and marketing campaigns. Set up A/B tests to validate ideas before full launch. Define success metrics to measure results for campaigns. Engage with the broader Sales and Marketing teams to understand strategic priorities and and identify potential recommendations that will resonate with publishers.,"Experience with statistical and quantitative modeling (e.g. regression and classification and clustering and etc), Experience working with a software development version control system (e.g and Perforce and Git and etc), Effective communication skills"
767,Design and implement and constantly refine all Go-to-Market activities required for Google Cloud Collaborate across Google teams and partners in order to equip them with a compelling narrative and useful collateral and and sufficient industry expertise to engage with healthcare executives. Expand market opportunity by educating and inspiring customers and prospects about possible business outcomes that can be enabled with the building blocks Google provides Equip Health & Life Sciences customer facing Googlers in other product areas to promote the Cloud narrative,"Proven success working within dynamic businesses and driving breakthrough growth, Comfortable talking about technical things with business people and business things with technical people. Able to express complex concepts in plain language to reach broader audiences, Ability to craft a compelling message and tailor it for a given audience. Ability to mix technical acumen with simple and everyday language to deliver a story that is memorable and useful"
769,Collaborate with cross-functional teams to develop and implement content and developer policies for Google products. Work with Fraud/Abuse teams to resolve escalations from users and internal stakeholders. Collaborate with teams to automate review processes and improve user experience for policy-related issues and provide trainings. Utilize user and operations and other data to support policy strategy and decisions. Drive awareness and understanding of our product policies within Google and across our user base; advance education around the first principles that define our positions.,"Experience with a range of policies and direct knowledge of the technology sector or the key issues impacting the Web, Experience working with a broad array of crossfunctional stakeholders, Excellent communication and presentation and interpersonal skills"
770,Develop and support Google’s external-facing content policy work to the benefit of Google’s users and our business and the wider web. Engage directly with politicians and policy-makers in content-related discussions. Engage with trade associations and industry partners and non-profit groups and academia and others to support policies that enable a user-focused online environment as well as an open Internet. Monitor and research current and emerging online content policy issues and support in-country government relations teams with well-focused content policy materials.,"Team player and strong crossfunctional leader and with flexibility and a sense of humor and the ability to exercise good judgment in a rapidly changing environment, Familiarity with Internet technologies and the related policy environments, Strong written and spoken communications skills"
771,Develop and write and and edit communications for executives and including emails and presentations and and videos. Work with and advise leadership on the right forum and timing and and content to ensure employees are enlightened and excited and empowered to meet business goals. Design and execute uplifting and enlightening events that transform teams and bring their work and impact to life. Identify forums within Google to promote the work done by the Global Campaign Operations team members. Manage internal communication strategic plans and initiatives and from beginning to end. Interact with and influence executives and and provide advice that reflects an understanding of their business and leadership style. Work closely with the India PR team to position Google Technical Services in relevant forums and stories and events as a place to work that attracts the future ready talent. Understand strategic initiatives and key programs being run within Global Campaign Operations team and get actively involved in running and shaping a select set. Understand operations and metrics to integrate the same in business communications.,"years of experience in a corporate communications environment, Effective writing and communication skills, Effective team player who can lead efforts across disciplines"
772,Google interns are given a lot of responsibility and the opportunity to make a meaningful contribution to their teams. Specific responsibilities are assigned to interns at the start of the program.,"Interest in the Internet and Google's technology business, Effective interpersonal and organizational skills and with the ability to navigate an ambiguous environment, Analytical skills and an interest in taking on business challenges"
774,Conduct business analytics to support Marketing strategy. Drive and support strategic projects and initiatives. Identify and develop key marketing operations processes to improve overall organizational efficiency and effectiveness. Support executive communication within Marketing and to cross-functional teams. Initiate and execute marketing programs at scale.,"Ability to effectively operate in a fastpaced environment and to work on multiple projects simultaneously in a dynamic and constantly evolving context, Demonstrated ability to develop strategy and business plans and effectively influence external partners, Effective leadership and and written and oral communication skills"
775,Build inspiring technology showcase assets that excite customers and drive awareness of Google Cloud Platform in the market and engage with key influencers. Create innovative marketing campaigns and technology showcases for Google Cloud Platform. Partner with developer relations and engineering to develop industry leading product demonstrations for major events and including executive keynotes. Serve as the internal advocate for our assigned products and achieving pipeline creation and go-to-market goals. Identify and develop and/or manage the creation of a variety of content types (written and videos and presentations and etc.) as needed to develop sales and marketing success.,Excellent communication and organizational skills
776,Serve as the daily PR lead for product launches and proactive announcements across our Search products. This will include working closely with cross-functional teams to draft blog posts and media pitches and launch materials. Think creatively and take smart risks and handle tough issues as they arise. Develop and maintain close and productive relationships with teams across Google and journalists and key partners and influencers in tech and business and the mainstream press. Act as a media spokesperson and maintaining a strong understanding of Google Search.,"Ability to work with colleagues in different countries and understand cultural differences, Ability to focus and prioritize on a variety of updates and announcements, Strong media relations skills and relationships in order to help shape a story"
777,Build partnerships and co-marketing programs with resellers and distributors. Develop joint communications and campaigns with partners. Balance partner engagements and co-marketing executions with scalable global solutions (marketing toolkits and reusable narratives and partner presentation materials and internal and external case studies). Work with creative agencies to develop marketing materials and innovative product ideas for partners. Identify and prioritize and act on strategic partnerships; collaborate with cross-functional stakeholders and persuade leadership teams within Google and our partners to pursue high potential opportunities.,Ability to develop collaborative crossfunctional relationships with stakeholders
780,Google interns are given a lot of responsibility and the opportunity to give a meaningful contribution to their teams. Specific responsibilities are assigned to interns at the start of the program.,"Interest in the technology industry and Google’s business, Demonstrated critical thinking skills and independent motivation"
781,Oversee global merchandising of Cast-enabled apps in the Home App and which includes setting the strategy and defining and managing against KPIs to optimize performance. Drive VIP/Influencer device giveaway programs to expand awareness of Google's hardware portfolio and manage Google’s presence at industry events and strategic experiential initiatives. Integrate CRM practices to elevate and automate our relationship with partners and influencers. Work with Business Development to deliver seasonal promotion opportunities and including product bundles with partner services. Generate reporting and case studies to assess impact of campaigns and events and other activities and advise Product Management/Engineering team and provide requirements for new platform-level merchandise capabilities and tools.,"Experience with vendor/agency relationships, Proficient in spreadsheet software. Comfort with shortcuts and pivot table and vlookup and etc, Track record for meeting critical deadlines and enthusiastically approaching challenges, Ability to influence without authority and working crossfunctionally to get things done"
782,Operationalize Go-to-Market (GTM) and joint marketing strategies with a focus on technology partners and GSIs Execute joint campaigns as a part of the strategic partners marketing program Evolve and monitor strategic partner co-marketing plans and requests and including strategic events Support the rollout of our sponsorship plan for strategic events to global markets,"years of enterprise technology event experience with a partnerships focus in a highgrowth and fastpaced environment, Knowledge of enterprise software technology across the entire stack and a desire to learn new technologies, Ability to work in a flexible environment and deal with uncertainty and and travel when necessary"
783,Intern projects will be determined based on the experience and skills and interests of the student. If you are interested in a particular area and please make sure to include it in your resume.,"Demonstrated interest in the Internet and Google's technology and business, Ability to operate as a selfstarter and independent thinker"
784,Project manage various research projects by working closely with cross-functional internal teams such as Design Strategy and Industrial Design and User Experience Design and Product Management. Work with Research Lead to build out research plans for high visibility projects and programs by identifying requirements and dependencies and building schedules to manage to deadlines. Work to remove obstacles actively and enable forward momentum and progress. Manage issue escalations and provide support to teams balancing competing priorities. Provide clear communication to cross-functional team leads and senior management regarding project status and resource requirements and issues and and priorities. Proactively identify risks and prioritize them and and create plans to resolve in a timely manner. Be a research advocate; share insights and best practices across Google and at times connecting people who would benefit from collaboration with each other.,"Experience in Hardware Research, Thorough knowledge of user centered design processes and iterative development processes"
785,Motion Designer: Create motion studies for enhancing usability and interaction and storytelling and delight. Work closely with UX partners and product managers to ideate and define. Work closely with engineering to integrate into products. Work closely with research to test and inform user experiences. Visual Designer: Produce quality design that accurately reflect a visual design language or brand guideline. Understand of typography and color and grid and and composition. Demonstrate best practices for pixel-perfect production considerations and methods. Use a broad range of style that can be consistently executed with an aesthetic personality or voice that is consistent and though not restricting. Develop and communicate underlying concepts that inspire design implementation. Interaction Designer: Produce and test interaction flows and mocks that accurately communicate product functionality to product and engineering and and visual design team members. Pair research with an intellectual curiosity that encourages testing and iteration is essential. Understand modern web and/or mobile environments such as HTML and CSS and JavaScript and Android UI and and iOS UI and as well as how the technologies of each can be used to further enhance the overall experience. Appreciate aesthetic details.,"Demonstrable proficiency with design tools (e.g. Adobe Photoshop and Sketch and Illustrator and After Effects and Quartz Composer and Framer Studio and etc.) and familiarity with front end engineering and/ or working with engineers, Ability to apply brand visual assets in a user interface context and understanding of usercentered design principles, Authorization to work in the United States"
786,Help to define the user model and user interface for new and existing Google products and features. Develop high level and/or detailed storyboards and mockups and and prototypes to effectively communicate interaction and design ideas. Gauge the usability of new and existing products and and making constructive suggestions for change.,"Knowledge of JavaScript for rapid prototyping purposes, Demonstrated HTML skills, Strong clean visual design sense, Excellent leadership and communication and teamwork skills"
787,Conduct independent research on multiple aspects of products and experiences. Collect and analyze user behavior through lab studies and field visits and ethnography and surveys and benchmark studies and server logs and and online experiments (A/B testing). Work with Designers and Product Managers and Engineers and and other UXRs to prioritize research opportunities in a fast-paced and rapidly changing environment. Understand and incorporate complex technical and business requirements into research. Advocate research findings to diverse audiences through written reports and in-person presentations.,"Experience integrating user research into product designs and design practices, Experience in survey design (ie: Qualtrics). Working knowledge of statistics and experimental design, Strong understanding of the strengths and shortcomings of different research methods and including when and how to apply them during the product development process, Experience with internet search and advertising and and curation. Love of mobile and apps or development environments, Effective interpersonal and communication and negotiation and collaboration skills"
788,Design and conduct user studies to gauge the usability of new and existing Google features. Make concrete and data-driven recommendations for change based on your findings. Communicate with team members throughout the process.,"Relevant work/project experience in an applied research setting including but not limited to integrating user research into product designs and design practices, Knowledge of statistics and the principles of experiment design, Strong understanding of strengths and shortcomings of different research methods and including when and how to apply them during each product phase, Excellent analytical and interpersonal and communication and negotiation and collaboration skills"
789,Motion Designer: Create motion studies for enhancing usability and interaction and storytelling and delight. Work closely with UX partners and product managers to ideate and define. Work closely with engineering to integrate into products. Work closely with research to test and inform user experiences. Visual Designer: Produce quality design that accurately reflect a visual design language or brand guideline. Understand of typography and color and grid and and composition. Demonstrate best practices for pixel-perfect production considerations and methods. Use a broad range of style that can be consistently executed with an aesthetic personality or voice that is consistent and though not restricting. Develop and communicate underlying concepts that inspire design implementation. Interaction Designer: Produce and test interaction flows and mocks that accurately communicate product functionality to product and engineering and and visual design team members. Pair research with an intellectual curiosity that encourages testing and iteration is essential. Understand modern web and/or mobile environments such as HTML and CSS and JavaScript and Android UI and and iOS UI and as well as how the technologies of each can be used to further enhance the overall experience. Appreciate aesthetic details.,"Demonstrable proficiency with design tools (e.g. Adobe Photoshop and Sketch and Illustrator and After Effects and Quartz Composer and Framer Studio and etc.) and familiarity with front end engineering and/ or working with engineers, Ability to apply brand visual assets in a user interface context and understanding of usercentered design principles, Authorization to work in the United States"
791,Design and conduct user studies to gauge the usability of new and existing Google features. Make concrete and data-driven recommendations for change based on your findings. Communicate with team members throughout the process.,"Relevant work/project experience in an applied research setting including but not limited to integrating user research into product designs and design practices, Knowledge of statistics and the principles of experiment design, Strong understanding of strengths and shortcomings of different research methods and including when and how to apply them during each product phase, Excellent analytical and interpersonal and communication and negotiation and collaboration skills"
792,Contribute towards and/or lead key formative and generative and and evaluative research activities including domain research and expert interviews and field research and lab studies and surveys and design developments and etc. Collaborate cross-functionally with Engineers and Product Managers and Researchers and Designers to overcome challenges and and prioritize user experience research questions. Advocate research findings to diverse audiences through written reports and presentations. Identify new opportunities for high-impact research and execute on them. Innovate by thinking creatively about how we can evolve the way we do research in order to improve our products for global users. Advocate for the needs of a global user audience.,"Experience with international research and including leading field research studies, Experience integrating user research into product designs and design practices, Understanding of the strengths and shortcomings of various research methods and including when and how to apply them during each product phase, Effective interpersonal and communication and consultation and collaboration skills"
793,Conduct independent research on multiple aspects of products and experiences. Collect and analyze user behavior through lab studies and field visits and ethnography and surveys and benchmark studies and server logs and and online experiments (A/B testing). Work with Designers and Product Managers and Engineers and and other UXRs to prioritize research opportunities in a fast-paced and rapidly changing environment. Understand and incorporate complex technical and business requirements into research. Advocate research findings to diverse audiences through written reports and in-person presentations.,"Experience integrating user research into product designs and design practices, Experience in survey design (ie: Qualtrics). Working knowledge of statistics and experimental design, Strong understanding of the strengths and shortcomings of different research methods and including when and how to apply them during the product development process, Experience with internet search and advertising and and curation. Love of mobile and apps or development environments, Effective interpersonal and communication and negotiation and collaboration skills"
794,Deliver innovative and engaging prototypes using the latest in front-end technologies. Advise and collaborate with and and synthesize feedback from UX designers and researchers. Fulfill several project requests simultaneously while meeting tight deadlines. Serve as a mentor for junior UX engineers and peers.,"years of experience developing clean and beautiful Android applications, Fluency in one or more of: Python/PHP/Ruby and Flash/ActionScript and Objective C or Java, Fluency in Java and Android SDK"
